audit_id,audit_run_id,audit_date,article_url,source_file,live_status,local_status,live_selector_found,local_selector_found,live_text_length,local_text_length,live_pre_count,local_pre_count,live_image_count,local_image_count,live_table_count,local_table_count,live_iframe_count,local_iframe_count,overall_result,severity,finding_classification,summary,live_evidence_path,local_evidence_path
RHI-VIS-069,phase-8-visual-compare-2026-03-22,2026-03-22,/migrate-magento-passwords-using-argon2/,src/content/posts/migrate-magento-passwords-using-argon2/index.md,200,200,1,1,5703,5746,3,3,0,0,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-070,phase-8-visual-compare-2026-03-22,2026-03-22,/navigating-dates-calendars-in-sfcc/,src/content/posts/navigating-dates-calendars-in-sfcc/index.md,200,200,1,1,16308,16805,8,8,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-071,phase-8-visual-compare-2026-03-22,2026-03-22,/new-apis-and-features-for-a-headless-sfcc/,src/content/posts/new-apis-and-features-for-a-headless-sfcc/index.md,200,200,1,1,4746,4746,0,0,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-072,phase-8-visual-compare-2026-03-22,2026-03-22,/non-technical-sfcc-certifications/,src/content/posts/non-technical-sfcc-certifications/index.md,200,200,1,1,7771,7783,0,0,6,6,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-073,phase-8-visual-compare-2026-03-22,2026-03-22,/office-hours-for-salesforce-b2c-commerce-cloud/,src/content/posts/office-hours-for-salesforce-b2c-commerce-cloud/index.md,200,200,1,1,3806,3792,0,0,0,0,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-074,phase-8-visual-compare-2026-03-22,2026-03-22,/pdf-and-salesforce-commerce-cloud-b2c/,src/content/posts/pdf-and-salesforce-commerce-cloud-b2c/index.md,200,200,1,1,8589,8584,0,0,1,1,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-075,phase-8-visual-compare-2026-03-22,2026-03-22,/phase-3-performance-baseline/,src/content/posts/phase-3-performance-baseline/index.md,200,404,,1,0,170,0,0,0,0,0,0,0,0,needs-review,low,scaffold-exception,Live does not expose an article body baseline but local does; treat as local-only scope exception.,tmp/phase-8-article-fidelity-visual-2026-03-22-screenshots/phase-3-performance-baseline/live.png,tmp/phase-8-article-fidelity-visual-2026-03-22-screenshots/phase-3-performance-baseline/local.png
RHI-VIS-076,phase-8-visual-compare-2026-03-22,2026-03-22,/podcasts-for-salesforce-b2c-commerce-cloud/,src/content/posts/podcasts-for-salesforce-b2c-commerce-cloud/index.md,200,200,1,1,6306,6308,0,0,0,0,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-077,phase-8-visual-compare-2026-03-22,2026-03-22,/preparing-for-the-b2c-commerce-developer-certification/,src/content/posts/preparing-for-the-b2c-commerce-developer-certification/index.md,200,200,1,1,9636,9634,0,0,0,0,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-078,phase-8-visual-compare-2026-03-22,2026-03-22,/real-time-inventory-checks-in-sfcc/,src/content/posts/real-time-inventory-checks-in-sfcc/index.md,200,200,1,1,14119,14126,0,0,3,3,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-079,phase-8-visual-compare-2026-03-22,2026-03-22,/reflecting-on-2-years-of-blogging/,src/content/posts/reflecting-on-2-years-of-blogging/index.md,200,200,1,1,3862,3858,0,0,2,2,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
RHI-VIS-080,phase-8-visual-compare-2026-03-22,2026-03-22,/salesforce-b2c-commerce-cloud-22-10/,src/content/posts/salesforce-b2c-commerce-cloud-22-10/index.md,200,200,1,1,7960,8035,1,1,6,6,0,0,0,0,pass,none,visual-structure-aligned,Visual structure metrics are within tolerance for rendered article-body parity.,,
